AFE_REG_6D_Time,AFE_REG_6D_Value,ECG_Time,ECG_Value,ECG_RAW_Time,ECG_RAW_Value,TIA1-3_Time,TIA1-3_Value,TIA1-3_RAW_Time,TIA1-3_RAW_Value
0.071,10.0,0.284,0.008790206909179686,0.284,15362.0,2.84,-0.6794540405273437,2.84,15589784.0,
0.0715,10.0,0.286,0.004119873046875,0.286,7200.0,2.86,-0.6763074874877929,2.86,15595283.0,
0.072,10.0,0.288,0.003255271911621094,0.288,5689.0,2.88,-0.6728078842163085,2.88,15601399.0,
0.0725,10.0,0.29,-0.002867889404296875,0.29,16772204.0,2.9,-0.6689220428466797,2.9,15608190.0,
0.073,10.0,0.292,-0.007640647888183593,0.292,16763863.0,2.92,-0.6648107528686523,2.92,15615375.0,
0.0735,10.0,0.294,-0.008744430541992186,0.294,16761934.0,2.94,-0.6604328155517578,2.94,15623026.0,
0.074,10.0,0.296,0.0015489578247070313,0.296,2707.0,2.96,-0.6560102462768554,2.96,15630755.0,
0.0745,10.0,0.298,0.009423637390136718,0.298,16469.0,2.98,-0.6516357421875,2.98,15638400.0,
0.075,10.0,0.3,0.010941696166992186,0.3,19122.0,3.0,-0.6475027084350585,3.0,15645623.0,
0.0755,10.0,0.302,0.0042858123779296875,0.302,7490.0,3.02,-0.6429296493530273,3.02,15653615.0,
0.076,10.0,0.304,0.002753448486328125,0.304,4812.0,3.04,-0.6382232666015625,3.04,15661840.0,
0.0765,10.0,0.306,-0.0011243820190429688,0.306,16775251.0,3.06,-0.6334842681884766,3.06,15670122.0,
0.077,10.0,0.308,-0.008410835266113281,0.308,16762517.0,3.08,-0.6286342620849609,3.08,15678598.0,
0.0775,10.0,0.31,-0.012193107604980468,0.31,16755907.0,3.1,-0.6243078231811523,3.1,15686159.0,
0.078,10.0,0.312,-0.005805587768554687,0.312,16767070.0,3.12,-0.6198772430419922,3.12,15693902.0,
0.0785,10.0,0.314,0.0026773452758789063,0.314,4679.0,3.14,-0.6160200119018554,3.14,15700643.0,
0.079,10.0,0.316,0.007195472717285156,0.316,12575.0,3.16,-0.614549446105957,3.16,15703213.0,
0.0795,10.0,0.318,0.0046405792236328125,0.318,8110.0,3.18,-0.6162185668945312,3.18,15700296.0,
0.08,10.0,0.32,0.0008131027221679688,0.32,1421.0,3.2,-0.6191213607788085,3.2,15695223.0,
0.0805,10.0,0.322,-0.0005842208862304688,0.322,16776195.0,3.22,-0.6221895217895508,3.22,15689861.0,
0.081,10.0,0.324,-0.007615470886230468,0.324,16763907.0,3.24,-0.624609375,3.24,15685632.0,
